"Profile","Status","ProjectName","BuildSeconds","AppBinBytes","AppElfBytes","MapBytes","AppBinSHA256","SdkconfigSHA256","BuildLog","SizeTextReport","SizeJsonReport"
"debug","PASS","sqd_firmware","334.87","183008","3765988","3763013","E68610D7E360B61EE8174F200B6DF8EEF7401F9B12723A18A13230768E7C57F3","C800D57BE4D140DE9C601648EE7D7B0060B6A87A1CF356E99E398CB3359162BB","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_debug_build_stdout_20260717_153011.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_debug_size_20260717_153011.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_debug_size_20260717_153011.json"
"validation","PASS","sqd_firmware","349.01","160336","3709744","3580245","8D066D5DF0377C32C9FCFB518795849D350311B2921732098DA3FE118FF90A02","C4DEC763B8D2786F1A289ACE7BF70F69E12E983C1C3F54011970B54763A92DFC","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_validation_build_stdout_20260717_153011.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_validation_size_20260717_153011.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_validation_size_20260717_153011.json"
"production","PASS","sqd_firmware","347.16","124480","3464196","3397034","93BB72133C819A4217BD8867DA44AD51EE6C4331837C6B2501C88DE568FFEC0A","10EF34E15B25EDA13C752ABCE33314EF3C6EC25B67735BC2EA8B836F87754F47","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_production_build_stdout_20260717_153011.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_production_size_20260717_153011.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.1\B3.1_production_size_20260717_153011.json"
