"Key","BuildASizeBytes","BuildASHA256","BuildBSizeBytes","BuildBSHA256","Match"
"0x0|bootloader/bootloader.bin","17776","9E2B1EECCB603C0D543BA24F0A838D4BE9C6A81BAF29D2C9BF79E82B07048806","17776","9E2B1EECCB603C0D543BA24F0A838D4BE9C6A81BAF29D2C9BF79E82B07048806","True"
"0x10000|sqd_firmware.bin","124480","D4A177A76E098041311853F9E4DC6A2AC2E06DEEA433033E27DF099C86487ED3","124480","D4A177A76E098041311853F9E4DC6A2AC2E06DEEA433033E27DF099C86487ED3","True"
"0x8000|partition_table/partition-table.bin","3072","7F00B6C042A89B15B0CAC534F82ED988CAF29278FF5700B0C511EB1B5BB7C820","3072","7F00B6C042A89B15B0CAC534F82ED988CAF29278FF5700B0C511EB1B5BB7C820","True"
